epoch,loss,mape,val_loss,val_mape,code,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,0.64,47.76,0.07,4.31,000006,3,1,1,64
1,0.17,34.82,0.18,6.04,000006,3,1,1,64
2,0.13,32.8,0.2,7.01,000006,3,1,1,64
3,0.12,33.59,0.05,2.9,000006,3,1,1,64
4,0.11,31.55,0.05,2.31,000006,3,1,1,64
5,0.11,33.52,0.01,1.37,000006,3,1,1,64
6,0.11,33.15,0.05,3.97,000006,3,1,1,64
7,0.11,32.17,0.04,1.72,000006,3,1,1,64
8,0.13,37.36,0.07,3.91,000006,3,1,1,64
9,0.09,32.8,0.2,7.51,000006,3,1,1,64
10,0.09,32.18,0.07,3.31,000006,3,1,1,64
11,0.12,37.95,0.09,5.55,000006,3,1,1,64
12,0.09,32.45,0.01,1.12,000006,3,1,1,64
13,0.09,32.31,0.04,2.15,000006,3,1,1,64
14,0.11,34.51,0.14,6.47,000006,3,1,1,64
15,0.08,31.37,0.01,1.12,000006,3,1,1,64
16,0.09,31.67,0.2,7.39,000006,3,1,1,64
17,0.09,31.67,0.15,6.32,000006,3,1,1,64
18,0.09,33.05,0.02,2.31,000006,3,1,1,64
19,0.09,29.51,0.07,3.39,000006,3,1,1,64
20,0.09,29.11,0.06,2.24,000006,3,1,1,64
21,0.08,29.41,0.12,5.3,000006,3,1,1,64
22,0.09,29.23,0.11,5.08,000006,3,1,1,64
