epoch,loss,mape,val_loss,val_mape,code,klt,the_mem_days,the_lstm_layers,the_dense_layers,the_units
0,304.28,100.03,344.09,99.96,003041,103,3,1,1,64
1,303.58,99.91,343.67,99.9,003041,103,3,1,1,64
2,302.81,99.78,343.2,99.83,003041,103,3,1,1,64
3,302.21,99.68,342.67,99.76,003041,103,3,1,1,64
4,301.3,99.52,342.1,99.67,003041,103,3,1,1,64
5,300.64,99.4,341.45,99.57,003041,103,3,1,1,64
6,299.77,99.26,340.73,99.47,003041,103,3,1,1,64
7,298.65,99.05,339.9,99.34,003041,103,3,1,1,64
8,296.97,98.76,338.95,99.2,003041,103,3,1,1,64
9,295.6,98.51,337.86,99.04,003041,103,3,1,1,64
10,292.83,98.03,336.57,98.84,003041,103,3,1,1,64
11,290.76,97.64,335.04,98.61,003041,103,3,1,1,64
12,288.96,97.35,333.22,98.33,003041,103,3,1,1,64
13,285.63,96.73,331.03,98.0,003041,103,3,1,1,64
14,282.24,96.13,328.4,97.59,003041,103,3,1,1,64
15,275.8,94.91,325.24,97.1,003041,103,3,1,1,64
16,270.27,93.76,321.39,96.49,003041,103,3,1,1,64
17,263.41,92.41,316.72,95.75,003041,103,3,1,1,64
18,255.57,90.95,311.03,94.82,003041,103,3,1,1,64
19,249.27,89.63,304.19,93.7,003041,103,3,1,1,64
20,232.34,86.3,296.1,92.33,003041,103,3,1,1,64
21,219.24,83.26,286.64,90.7,003041,103,3,1,1,64
22,211.08,81.63,275.81,88.76,003041,103,3,1,1,64
23,188.98,76.52,263.82,86.55,003041,103,3,1,1,64
24,172.58,73.21,250.89,84.07,003041,103,3,1,1,64
