code,klt,loss,mape,val_loss,val_mape,modelname
c002703,101,0.84,8.13,0.38,5.57,/content/drive/MyDrive/stock/data/working/models_2/101/0.84_002703_19_mem_3_ltsm_1_dense_1_unit_64.h5
c002652,101,0.29,9.0,0.07,6.98,/content/drive/MyDrive/stock/data/working/models_2/101/0.29_002652_23_mem_3_ltsm_1_dense_1_unit_64.h5
c000421,101,0.23,9.02,0.04,2.66,/content/drive/MyDrive/stock/data/working/models_2/101/0.23_000421_11_mem_3_ltsm_1_dense_1_unit_64.h5
c600051,101,0.39,6.83,0.05,2.65,/content/drive/MyDrive/stock/data/working/models_2/101/0.39_600051_28_mem_3_ltsm_1_dense_1_unit_64.h5
c000666,101,0.94,8.74,0.27,4.38,/content/drive/MyDrive/stock/data/working/models_2/101/0.94_000666_16_mem_3_ltsm_1_dense_1_unit_64.h5
c000797,101,0.1,10.09,0.04,4.41,/content/drive/MyDrive/stock/data/working/models_2/101/0.10_000797_23_mem_3_ltsm_1_dense_1_unit_64.h5
c000797,101,0.1,9.93,0.03,3.46,/content/drive/MyDrive/stock/data/working/models_2/101/0.10_000797_24_mem_3_ltsm_1_dense_1_unit_64.h5
c002911,101,0.78,6.89,0.59,3.52,/content/drive/MyDrive/stock/data/working/models_2/101/0.78_002911_44_mem_3_ltsm_1_dense_1_unit_64.h5
c000800,101,0.71,21.39,0.14,3.71,/content/drive/MyDrive/stock/data/working/models_2/101/0.71_000800_43_mem_3_ltsm_1_dense_1_unit_64.h5
c601858,101,1.19,8.11,0.72,5.56,/content/drive/MyDrive/stock/data/working/models_2/101/1.19_601858_21_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,174.04,99.63,162.93,98.74,/content/drive/MyDrive/stock/data/working/models_2/101/174.04_002875_00_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,169.47,98.14,156.68,96.27,/content/drive/MyDrive/stock/data/working/models_2/101/169.47_002875_01_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,159.48,94.59,141.75,89.72,/content/drive/MyDrive/stock/data/working/models_2/101/159.48_002875_02_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,131.27,83.23,103.08,68.89,/content/drive/MyDrive/stock/data/working/models_2/101/131.27_002875_03_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,64.96,48.26,41.65,29.89,/content/drive/MyDrive/stock/data/working/models_2/101/64.96_002875_04_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,18.86,28.01,23.98,39.4,/content/drive/MyDrive/stock/data/working/models_2/101/18.86_002875_05_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,9.95,23.03,12.64,20.76,/content/drive/MyDrive/stock/data/working/models_2/101/9.95_002875_06_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,4.68,11.27,12.37,17.07,/content/drive/MyDrive/stock/data/working/models_2/101/4.68_002875_07_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,5.83,12.98,9.24,12.59,/content/drive/MyDrive/stock/data/working/models_2/101/5.83_002875_08_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,4.58,11.55,7.18,10.2,/content/drive/MyDrive/stock/data/working/models_2/101/4.58_002875_09_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,4.02,11.32,7.09,9.19,/content/drive/MyDrive/stock/data/working/models_2/101/4.02_002875_10_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,3.56,10.13,7.46,10.01,/content/drive/MyDrive/stock/data/working/models_2/101/3.56_002875_11_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,3.85,10.46,6.82,9.32,/content/drive/MyDrive/stock/data/working/models_2/101/3.85_002875_12_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,3.08,9.74,6.37,9.38,/content/drive/MyDrive/stock/data/working/models_2/101/3.08_002875_13_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.86,9.48,6.25,8.96,/content/drive/MyDrive/stock/data/working/models_2/101/2.86_002875_14_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.78,9.35,5.97,8.76,/content/drive/MyDrive/stock/data/working/models_2/101/2.78_002875_15_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.7,9.52,5.64,8.41,/content/drive/MyDrive/stock/data/working/models_2/101/2.70_002875_16_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.49,9.17,5.61,8.19,/content/drive/MyDrive/stock/data/working/models_2/101/2.49_002875_17_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.21,8.74,5.01,7.64,/content/drive/MyDrive/stock/data/working/models_2/101/2.21_002875_18_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.38,9.05,5.58,7.72,/content/drive/MyDrive/stock/data/working/models_2/101/2.38_002875_19_mem_3_ltsm_1_dense_1_unit_64.h5
c002644,101,1.32,10.25,0.34,4.68,/content/drive/MyDrive/stock/data/working/models_2/101/1.32_002644_14_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.23,8.72,4.54,7.05,/content/drive/MyDrive/stock/data/working/models_2/101/2.23_002875_20_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.32,8.92,5.11,7.69,/content/drive/MyDrive/stock/data/working/models_2/101/2.32_002875_21_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.0,8.47,4.5,7.01,/content/drive/MyDrive/stock/data/working/models_2/101/2.00_002875_22_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.98,8.44,4.67,6.93,/content/drive/MyDrive/stock/data/working/models_2/101/1.98_002875_23_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.96,8.35,4.34,6.89,/content/drive/MyDrive/stock/data/working/models_2/101/1.96_002875_24_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.8,8.15,4.65,6.52,/content/drive/MyDrive/stock/data/working/models_2/101/1.80_002875_25_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,2.04,8.39,4.02,6.55,/content/drive/MyDrive/stock/data/working/models_2/101/2.04_002875_26_mem_3_ltsm_1_dense_1_unit_64.h5
c002875,101,1.95,8.39,4.52,6.74,/content/drive/MyDrive/stock/data/working/models_2/101/1.95_002875_27_mem_3_ltsm_1_dense_1_unit_64.h5
